id,date,price,bedrooms,bathrooms,sqft_living,sqft_lot,floors,waterfront,view,condition,grade,sqft_above,sqft_basement,yr_built,yr_renovated,zipcode,lat,long,sqft_living15,sqft_lot15
7129300520,2014-10-13,-0.8756100879414417,3.0,1.0,-1.0055960828139816,-0.3430141985635813,1.0,0,0,3,7,1180,0,1955,,98178,47.5112,-122.257,1340,5650
6414100192,2014-12-09,0.0005775642814866357,3.0,2.25,0.5765425485286173,-0.24809449363968322,2.0,0,0,3,7,2170,400,1951,1991.0,98125,47.721,-122.319,1690,7639
5631500400,2015-02-25,-0.9917513806593813,2.0,1.0,-1.4722700675984892,-0.08365445206926181,1.0,0,0,3,6,770,0,1933,,98028,47.7379,-122.233,2720,8062
2487200875,2014-12-09,0.1835208893264511,4.0,3.0,-0.1177772824922355,-0.38176910321215773,1.0,0,0,5,7,1050,910,1965,,98136,47.5208,-122.393,1360,5000
1954400510,2015-02-18,-0.0770347554345589,3.0,2.0,-0.43648146722311876,-0.19813047810813386,1.0,0,0,3,8,1680,0,1987,,98074,47.6168,-122.045,1800,7503
7237550310,2014-05-12,1.9048512658858896,4.0,4.5,3.820495857396536,5.397481523844023,1.0,0,0,3,11,3890,1530,2001,,98053,47.6561,-122.005,4760,101930
1321400060,2014-06-27,-0.7769315671596124,3.0,2.25,-0.39664344413175834,-0.2733149931263722,2.0,0,0,3,7,1715,0,1995,,98003,47.3097,-122.327,2238,6819
2008000270,2015-01-15,-0.6817178820793922,3.0,1.5,-1.1421835905557889,-0.1008854789053212,1.0,0,0,3,7,1060,0,1963,,98198,47.4095,-122.315,1650,9711
2414600126,2015-04-15,-0.854543886875658,3.0,1.0,-0.32265854410494615,-0.23450046554756715,1.0,0,0,3,7,1050,730,1960,,98146,47.5123,-122.337,1780,8113
3793500160,2015-03-12,-0.5953741763952916,3.0,2.5,-0.19745332867495632,-0.2887573320555742,2.0,0,0,3,7,1890,0,2003,,98038,47.3684,-122.031,2390,7570
1736800520,2015-04-03,0.3456752001617605,3.0,2.5,-0.16330645173950453,-0.09581752983589197,1.0,0,0,3,8,1860,1700,1965,,98007,47.6007,-122.145,2210,8925
9212900260,2014-05-27,-0.1934532350086272,2.0,1.0,-1.0283606674376162,-0.32214617298357856,1.0,0,0,4,7,860,300,1942,,98115,47.69,-122.292,1330,6000
114101516,2014-05-28,-0.631408467692027,3.0,1.0,-0.16330645173950453,0.5066721801239007,1.5,0,0,4,7,1430,0,1927,,98028,47.7558,-122.229,1780,12697
6054650070,2014-10-07,-0.38194029717616634,3.0,1.75,-0.7893325288894538,-0.10273378974240714,1.0,0,0,4,7,1370,0,1977,,98074,47.6127,-122.045,1370,10208
1175000570,2015-03-12,-0.02159738420881209,5.0,2.0,-0.2885116671694944,-0.3907125427464446,1.5,0,0,3,7,1810,0,1900,,98107,47.67,-122.394,1360,4850
9297300055,2015-01-24,0.31102684314566875,4.0,3.0,1.009069656377673,-0.38176910321215773,2.0,0,3,3,9,1980,970,1979,,98126,47.5714,-122.375,2140,4000
